Sample Data File


battery_voltage	relative_humidity	air_temperature	solar_voltage	battery_power	sea_surface_temperature	epoch
4.04	15.2	19.5	0.22	-0.15	19.22046667	1693699200
4.04	15.15	19.65	0.2	-0.12	19.21	1693700400
4.03	15.55	19.55	0.2	-0.2	19.24	1693701600
4.038037508	15.91168788	19.50981246	0.216075017	-0.159812458	19.24803751	1693702800
4.03	16.09	19.4375	0.2	-0.12	19.26	1693704000
4.031673173	16.40863915	19.39175125	0.203346347	-0.12501952	19.26498048	1693705200
4.038365867	16.72319576	19.47875627	0.216731735	-0.145097602	19.2849024	1693706400	bad_data12321421
4.03 16.65625 19.40125 0.2 -0.12 19.275 1693707600
4.03	NotANumber	19.45625	0.2	-0.12	19.255	1693708800
